record_id,production_date,quarter,department,day_name,team_no,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
32,2015-01-03,Quarter1,Sewing,Saturday,7,0.8,25.9,1138.0,6720,38,0,0,0,56.0,0.800125
33,2015-01-03,Quarter1,Sewing,Saturday,10,0.75,19.31,610.0,6480,56,0,0,0,54.0,0.7873
34,2015-01-03,Quarter1,Finishing,Saturday,2,0.8,4.15,,960,0,0,0,0,8.0,0.782448
35,2015-01-03,Quarter1,Sewing,Saturday,2,0.75,19.87,944.0,6600,45,0,0,0,55.0,0.750243
36,2015-01-03,Quarter1,Finishing,Saturday,10,0.7,4.15,,960,0,0,0,0,8.0,0.701813
37,2015-01-03,Quarter1,Sewing,Saturday,4,0.7,23.69,544.0,13800,0,0,0,0,60.0,0.700134
38,2015-01-03,Quarter1,Sewing,Saturday,9,0.7,28.08,1072.0,6900,40,0,0,0,57.5,0.699965
39,2015-01-03,Quarter1,Finishing,Saturday,8,0.8,2.9,,960,0,0,0,0,8.0,0.628333
40,2015-01-03,Quarter1,Finishing,Saturday,7,0.8,3.94,,960,0,0,0,0,8.0,0.625313
41,2015-01-04,Quarter1,Finishing,Sunday,3,0.75,4.15,,1560,0,0,0,0,8.0,0.991389
42,2015-01-04,Quarter1,Finishing,Sunday,9,0.8,3.94,,960,0,0,0,0,8.0,0.931646
43,2015-01-04,Quarter1,Finishing,Sunday,1,0.8,3.94,,960,0,0,0,0,8.0,0.915229
44,2015-01-04,Quarter1,Sewing,Sunday,6,0.8,11.61,539.0,6975,50,0,0,0,31.0,0.879714
45,2015-01-04,Quarter1,Finishing,Sunday,4,0.8,3.94,,6600,0,0,0,0,20.0,0.861679
46,2015-01-04,Quarter1,Sewing,Sunday,9,0.8,26.16,1278.0,7080,60,0,0,0,59.0,0.850569
47,2015-01-04,Quarter1,Sewing,Sunday,7,0.8,25.9,1227.0,7020,60,0,0,0,56.5,0.850436
48,2015-01-04,Quarter1,Sewing,Sunday,8,0.8,25.9,1039.0,6780,45,0,0,0,56.5,0.850345
49,2015-01-04,Quarter1,Sewing,Sunday,4,0.8,28.08,878.0,4260,50,0,0,0,55.5,0.800598
50,2015-01-04,Quarter1,Sewing,Sunday,1,0.8,26.16,1033.0,7080,63,0,0,0,59.0,0.800319
51,2015-01-04,Quarter1,Sewing,Sunday,2,0.8,28.08,782.0,6660,50,0,0,0,55.5,0.800238
52,2015-01-04,Quarter1,Sewing,Sunday,12,0.8,11.61,1216.0,6975,50,0,0,0,31.0,0.80003
53,2015-01-04,Quarter1,Finishing,Sunday,2,0.8,3.94,,960,0,0,0,0,8.0,0.792104
54,2015-01-04,Quarter1,Finishing,Sunday,10,0.7,3.94,,4320,0,0,0,0,18.0,0.759228
55,2015-01-04,Quarter1,Sewing,Sunday,11,0.75,19.31,513.0,6480,45,0,0,0,54.0,0.750348
56,2015-01-04,Quarter1,Sewing,Sunday,3,0.75,19.87,734.0,6600,45,0,0,0,55.0,0.750243
57,2015-01-04,Quarter1,Sewing,Sunday,10,0.7,28.08,1202.0,6900,40,0,0,0,57.5,0.699965
58,2015-01-04,Quarter1,Finishing,Sunday,8,0.8,2.9,,960,0,0,0,0,8.0,0.682708
59,2015-01-04,Quarter1,Finishing,Sunday,7,0.8,2.9,,960,0,0,0,0,8.0,0.667604
60,2015-01-04,Quarter1,Sewing,Sunday,5,0.7,45.67,884.0,6960,26,0,0,0,58.0,0.603432
61,2015-01-04,Quarter1,Finishing,Sunday,11,0.75,4.15,,960,0,0,0,0,8.0,0.345833
62,2015-01-05,Quarter1,Finishing,Monday,1,0.8,3.94,,1920,0,0,0,0,8.0,0.961059
63,2015-01-05,Quarter1,Finishing,Monday,11,0.8,3.94,,2400,0,0,0,0,10.0,0.939514
64,2015-01-05,Quarter1,Finishing,Monday,4,0.8,3.94,,3840,0,0,0,0,16.0,0.893663
65,2015-01-05,Quarter1,Finishing,Monday,3,0.75,4.15,,1920,0,0,0,0,8.0,0.875391
66,2015-01-05,Quarter1,Sewing,Monday,9,0.8,26.16,1227.0,7080,75,0,0,0,59.0,0.850569
67,2015-01-05,Quarter1,Finishing,Monday,9,0.8,2.9,,1920,0,0,0,0,8.0,0.820833
68,2015-01-05,Quarter1,Finishing,Monday,2,0.8,3.94,,960,0,0,0,0,8.0,0.804417
69,2015-01-05,Quarter1,Sewing,Monday,7,0.8,25.9,1255.0,6780,50,0,0,0,56.5,0.800684
70,2015-01-05,Quarter1,Sewing,Monday,8,0.8,25.9,1047.0,6780,38,0,0,0,56.5,0.800684
71,2015-01-05,Quarter1,Sewing,Monday,1,0.8,26.16,1138.0,7080,63,0,0,0,59.0,0.800319
72,2015-01-05,Quarter1,Sewing,Monday,11,0.8,19.31,678.0,4800,50,0,0,0,55.0,0.800251
73,2015-01-05,Quarter1,Sewing,Monday,6,0.8,11.61,712.0,7200,50,0,0,0,32.0,0.800246
74,2015-01-05,Quarter1,Sewing,Monday,12,0.8,11.61,1037.0,7200,50,0,0,0,32.0,0.800246
75,2015-01-05,Quarter1,Sewing,Monday,2,0.8,28.08,757.0,6900,50,0,0,0,57.5,0.800077
76,2015-01-05,Quarter1,Sewing,Monday,4,0.8,28.08,759.0,6900,50,0,0,0,57.5,0.800077
77,2015-01-05,Quarter1,Finishing,Monday,10,0.75,2.9,,960,0,0,0,0,8.0,0.763375
78,2015-01-05,Quarter1,Finishing,Monday,5,0.6,2.9,,960,0,0,0,0,8.0,0.759271
79,2015-01-05,Quarter1,Sewing,Monday,10,0.75,28.08,1083.0,7020,45,0,0,0,58.5,0.7504
80,2015-01-05,Quarter1,Sewing,Monday,3,0.75,19.87,944.0,6600,45,0,0,0,55.0,0.750243
81,2015-01-05,Quarter1,Finishing,Monday,7,0.8,3.94,,960,0,0,0,0,8.0,0.676667
82,2015-01-05,Quarter1,Finishing,Monday,8,0.8,2.9,,960,0,0,0,0,8.0,0.664583
83,2015-01-05,Quarter1,Sewing,Monday,5,0.6,21.98,666.0,6960,23,0,0,0,58.0,0.600029
84,2015-01-06,Quarter1,Finishing,Tuesday,4,0.8,3.94,,4440,0,0,0,0,18.0,0.966781
85,2015-01-06,Quarter1,Finishing,Tuesday,1,0.8,3.94,,1440,0,0,0,0,8.0,0.936496
86,2015-01-06,Quarter1,Finishing,Tuesday,3,0.75,4.15,,1800,0,0,0,0,10.0,0.899167
87,2015-01-06,Quarter1,Finishing,Tuesday,11,0.8,4.15,,2700,0,0,0,0,15.0,0.888687
88,2015-01-06,Quarter1,Finishing,Tuesday,9,0.8,3.94,,1440,0,0,0,0,8.0,0.858144
89,2015-01-06,Quarter1,Sewing,Tuesday,1,0.8,26.16,1187.0,10620,75,0,0,0,59.0,0.850502
90,2015-01-06,Quarter1,Sewing,Tuesday,9,0.8,26.16,1305.0,10620,75,0,0,0,59.0,0.850502
91,2015-01-06,Quarter1,Finishing,Tuesday,10,0.75,3.94,,1440,0,0,0,0,8.0,0.80964
92,2015-01-06,Quarter1,Finishing,Tuesday,2,0.8,3.94,,1440,0,0,0,0,8.0,0.805909
93,2015-01-06,Quarter1,Sewing,Tuesday,2,0.8,28.08,716.0,10350,50,0,0,0,57.5,0.800594
94,2015-01-06,Quarter1,Sewing,Tuesday,4,0.8,28.08,925.0,10350,50,0,0,0,57.5,0.800594
95,2015-01-06,Quarter1,Sewing,Tuesday,3,0.8,19.87,963.0,9900,50,0,0,0,55.0,0.800274
96,2015-01-06,Quarter1,Sewing,Tuesday,12,0.8,11.61,1101.0,5310,50,0,0,0,31.5,0.800141
97,2015-01-06,Quarter1,Sewing,Tuesday,7,0.8,25.9,1035.0,10170,38,0,0,0,56.5,0.800129
98,2015-01-06,Quarter1,Sewing,Tuesday,8,0.8,25.9,1083.0,10170,38,0,0,0,56.5,0.800129
99,2015-01-06,Quarter1,Sewing,Tuesday,6,0.8,11.61,910.0,4470,38,0,0,0,31.5,0.800077
100,2015-01-06,Quarter1,Sewing,Tuesday,10,0.75,28.08,1209.0,10530,45,0,0,0,58.5,0.750545
101,2015-01-06,Quarter1,Sewing,Tuesday,11,0.75,19.31,590.0,9900,45,0,0,0,55.0,0.750058
102,2015-01-06,Quarter1,Finishing,Tuesday,8,0.8,2.9,,1440,0,0,0,0,8.0,0.681061
103,2015-01-06,Quarter1,Sewing,Tuesday,5,0.65,21.98,808.0,10440,35,0,0,0,58.0,0.649983
104,2015-01-06,Quarter1,Finishing,Tuesday,7,0.8,2.9,,1440,0,0,0,0,8.0,0.61625
105,2015-01-07,Quarter1,Finishing,Wednesday,1,0.8,3.94,,1440,0,0,0,0,8.0,0.95142
106,2015-01-07,Quarter1,Finishing,Wednesday,9,0.8,3.94,,1440,0,0,0,0,8.0,0.88053
107,2015-01-07,Quarter1,Sewing,Wednesday,1,0.8,26.16,1179.0,10620,75,0,0,0,59.0,0.850502
108,2015-01-07,Quarter1,Sewing,Wednesday,9,0.8,26.16,1324.0,10620,75,0,0,0,59.0,0.850502
109,2015-01-07,Quarter1,Sewing,Wednesday,8,0.8,25.9,1135.0,10170,60,0,0,0,56.5,0.850137
110,2015-01-07,Quarter1,Finishing,Wednesday,3,0.75,4.15,,2700,0,0,0,0,15.0,0.83
111,2015-01-07,Quarter1,Finishing,Wednesday,4,0.8,3.94,,4440,0,0,0,0,18.0,0.827187
112,2015-01-07,Quarter1,Finishing,Wednesday,2,0.8,3.94,,1440,0,0,0,0,8.0,0.813371
113,2015-01-07,Quarter1,Finishing,Wednesday,10,0.75,3.94,,1440,0,0,0,0,8.0,0.805909
114,2015-01-07,Quarter1,Finishing,Wednesday,7,0.8,2.9,,1440,0,0,0,0,8.0,0.80464
115,2015-01-07,Quarter1,Sewing,Wednesday,2,0.8,28.08,776.0,10350,63,0,0,0,57.5,0.800594
116,2015-01-07,Quarter1,Sewing,Wednesday,4,0.8,28.08,990.0,10350,50,0,0,0,57.5,0.800594
117,2015-01-07,Quarter1,Sewing,Wednesday,6,0.8,11.41,986.0,5490,50,0,0,0,30.5,0.800344
118,2015-01-07,Quarter1,Sewing,Wednesday,3,0.8,19.87,924.0,9900,50,0,0,0,55.0,0.800274
119,2015-01-07,Quarter1,Sewing,Wednesday,12,0.8,11.61,1120.0,5670,50,0,0,0,31.5,0.800247
120,2015-01-07,Quarter1,Sewing,Wednesday,7,0.8,25.9,1066.0,10170,50,0,0,0,56.5,0.800129
121,2015-01-07,Quarter1,Sewing,Wednesday,10,0.75,28.08,1144.0,10530,69,0,0,0,58.5,0.8
122,2015-01-07,Quarter1,Sewing,Wednesday,5,0.7,21.98,413.0,9720,40,0,0,0,58.0,0.700481
123,2015-01-07,Quarter1,Finishing,Wednesday,8,0.8,2.9,,1440,0,0,0,0,8.0,0.681061
124,2015-01-07,Quarter1,Finishing,Wednesday,6,0.8,2.9,,1800,0,0,0,0,10.0,0.666515
125,2015-01-07,Quarter1,Sewing,Wednesday,11,0.8,31.83,568.0,9900,40,0,0,0,55.0,0.41212
126,2015-01-07,Quarter1,Finishing,Wednesday,5,0.7,4.15,,1440,0,0,0,0,8.0,0.330114
127,2015-01-08,Quarter2,Finishing,Thursday,1,0.8,3.94,,1440,0,0,0,0,8.0,0.947689
128,2015-01-08,Quarter2,Finishing,Thursday,4,0.8,3.94,,12600,0,0,0,0,20.0,0.919905
129,2015-01-08,Quarter2,Sewing,Thursday,9,0.8,26.16,1216.0,10620,88,0,0,0,59.0,0.900216
130,2015-01-08,Quarter2,Finishing,Thursday,9,0.8,3.94,,1440,0,0,0,0,8.0,0.891724
131,2015-01-08,Quarter2,Sewing,Thursday,1,0.8,26.16,1189.0,10620,75,0,0,0,59.0,0.850502
132,2015-01-08,Quarter2,Sewing,Thursday,4,0.8,28.08,942.0,10530,75,0,0,0,58.5,0.850182
133,2015-01-08,Quarter2,Sewing,Thursday,7,0.8,25.9,1050.0,10170,60,0,0,0,56.5,0.850137
134,2015-01-08,Quarter2,Sewing,Thursday,8,0.8,25.9,1026.0,10170,60,0,0,0,56.5,0.850137
135,2015-01-08,Quarter2,Finishing,Thursday,2,0.8,3.94,,1440,0,0,0,0,8.0,0.835758
136,2015-01-08,Quarter2,Finishing,Thursday,5,0.7,4.15,,3840,0,0,0,0,8.0,0.821354
137,2015-01-08,Quarter2,Sewing,Thursday,2,0.8,28.08,783.0,10050,63,0,0,0,58.5,0.800497
138,2015-01-08,Quarter2,Sewing,Thursday,3,0.8,19.87,857.0,9900,50,0,0,0,55.0,0.800274
139,2015-01-08,Quarter2,Sewing,Thursday,12,0.8,11.61,548.0,15120,63,0,0,0,31.5,0.800107
140,2015-01-08,Quarter2,Sewing,Thursday,6,0.8,11.41,411.0,14640,50,0,0,0,30.5,0.800025
141,2015-01-08,Quarter2,Sewing,Thursday,10,0.75,28.08,1066.0,10530,69,0,0,0,58.5,0.8
142,2015-01-08,Quarter2,Finishing,Thursday,10,0.75,3.94,,1440,0,0,0,0,8.0,0.779792
143,2015-01-08,Quarter2,Finishing,Thursday,8,0.8,2.9,,1440,0,0,0,0,8.0,0.735985
144,2015-01-08,Quarter2,Finishing,Thursday,3,0.75,4.15,,2160,0,0,0,0,12.0,0.712626
145,2015-01-08,Quarter2,Finishing,Thursday,7,0.8,2.9,,1440,0,0,0,0,8.0,0.681061
146,2015-01-08,Quarter2,Finishing,Thursday,11,0.8,4.15,,900,0,0,0,0,5.0,0.515606
147,2015-01-08,Quarter2,Sewing,Thursday,11,0.35,12.52,287.0,25920,38,0,0,0,54.0,0.349951
148,2015-01-08,Quarter2,Sewing,Thursday,5,0.7,42.41,724.0,10260,0,0,0,0,57.0,0.233705
149,2015-01-10,Quarter2,Finishing,Saturday,1,0.8,3.94,,2160,0,0,0,0,8.0,0.985
150,2015-01-10,Quarter2,Finishing,Saturday,3,0.75,4.15,,2760,0,0,0,0,12.0,0.93034
151,2015-01-10,Quarter2,Finishing,Saturday,4,0.8,3.94,,6000,0,0,0,0,20.0,0.91159
152,2015-01-10,Quarter2,Finishing,Saturday,9,0.8,3.94,,1440,0,0,0,0,8.0,0.858144
153,2015-01-10,Quarter2,Sewing,Saturday,9,0.8,26.16,1122.0,10620,75,0,0,0,59.0,0.851174
154,2015-01-10,Quarter2,Sewing,Saturday,7,0.8,25.9,970.0,10170,60,0,0,0,56.5,0.850137
155,2015-01-10,Quarter2,Sewing,Saturday,8,0.8,25.9,1158.0,10170,60,0,0,0,56.5,0.850137
156,2015-01-10,Quarter2,Finishing,Saturday,10,0.8,3.94,,1440,0,0,0,0,8.0,0.846951
157,2015-01-10,Quarter2,Finishing,Saturday,11,0.8,4.15,,1440,0,0,0,0,8.0,0.817424
158,2015-01-10,Quarter2,Finishing,Saturday,2,0.8,3.94,,1440,0,0,0,0,8.0,0.817102
159,2015-01-10,Quarter2,Sewing,Saturday,4,0.8,28.08,660.0,10440,63,0,0,0,58.0,0.801028
160,2015-01-10,Quarter2,Sewing,Saturday,2,0.8,28.08,749.0,10350,63,0,0,0,57.5,0.800594
161,2015-01-10,Quarter2,Sewing,Saturday,12,0.8,11.61,893.0,4710,50,0,0,0,31.5,0.800346
162,2015-01-10,Quarter2,Sewing,Saturday,6,0.8,11.41,887.0,5490,50,0,0,0,30.5,0.800344
163,2015-01-10,Quarter2,Sewing,Saturday,1,0.8,26.16,1335.0,10620,63,0,0,0,59.0,0.800117
164,2015-01-10,Quarter2,Sewing,Saturday,10,0.8,28.08,1082.0,10530,63,0,0,0,58.5,0.8
165,2015-01-10,Quarter2,Sewing,Saturday,3,0.75,19.87,1075.0,7080,45,0,0,0,56.0,0.750098
166,2015-01-10,Quarter2,Sewing,Saturday,11,0.5,12.52,749.0,9540,38,0,0,0,53.0,0.673245
167,2015-01-10,Quarter2,Finishing,Saturday,7,0.8,2.9,,1440,0,0,0,0,8.0,0.670076
168,2015-01-10,Quarter2,Finishing,Saturday,8,0.8,2.9,,1440,0,0,0,0,8.0,0.628883
169,2015-01-10,Quarter2,Sewing,Saturday,5,0.5,20.79,966.0,7680,0,0,0,0,56.0,0.388008
170,2015-01-10,Quarter2,Finishing,Saturday,5,0.5,4.15,,1440,0,0,0,0,8.0,0.337973
171,2015-01-11,Quarter2,Finishing,Sunday,3,0.75,4.15,,1440,0,0,0,0,8.0,0.935322
172,2015-01-11,Quarter2,Finishing,Sunday,4,0.8,3.94,,3600,0,0,0,0,20.0,0.925644
173,2015-01-11,Quarter2,Sewing,Sunday,9,0.8,26.16,1095.0,10620,88,0,0,0,59.0,0.900216
174,2015-01-11,Quarter2,Finishing,Sunday,1,0.8,3.94,,1440,0,0,0,0,8.0,0.873068
175,2015-01-11,Quarter2,Finishing,Sunday,9,0.8,3.94,,1440,0,0,0,0,8.0,0.858144
176,2015-01-11,Quarter2,Sewing,Sunday,1,0.8,26.16,1383.0,10620,75,0,0,0,59.0,0.850502
177,2015-01-11,Quarter2,Sewing,Sunday,7,0.8,25.9,1012.0,10170,45,0,0,0,56.5,0.850137
178,2015-01-11,Quarter2,Sewing,Sunday,8,0.8,25.9,1209.0,10170,60,0,0,0,56.5,0.850137
179,2015-01-11,Quarter2,Finishing,Sunday,10,0.8,3.94,,1440,0,0,0,0,8.0,0.828295
180,2015-01-11,Quarter2,Finishing,Sunday,2,0.8,3.94,,1440,0,0,0,0,8.0,0.820833
181,2015-01-11,Quarter2,Sewing,Sunday,6,0.8,11.41,887.0,5490,50,0,0,0,30.5,0.800344
182,2015-01-11,Quarter2,Sewing,Sunday,12,0.8,11.61,896.0,5670,50,0,0,0,31.5,0.800247
183,2015-01-11,Quarter2,Sewing,Sunday,2,0.8,28.08,805.0,10530,63,0,0,0,58.5,0.8
184,2015-01-11,Quarter2,Sewing,Sunday,10,0.8,28.08,762.0,10530,38,0,0,0,58.5,0.8
185,2015-01-11,Quarter2,Sewing,Sunday,3,0.8,19.87,1043.0,6420,0,0,0,0,55.0,0.690183
186,2015-01-11,Quarter2,Finishing,Sunday,11,0.8,4.15,,1440,0,0,0,0,8.0,0.668087
187,2015-01-11,Quarter2,Finishing,Sunday,8,0.8,2.9,,1440,0,0,0,0,8.0,0.653598
188,2015-01-11,Quarter2,Finishing,Sunday,5,0.5,4.15,,1440,0,0,0,0,8.0,0.609138
189,2015-01-11,Quarter2,Sewing,Sunday,11,0.6,12.52,831.0,9540,30,0,0,0,53.0,0.60023
190,2015-01-11,Quarter2,Finishing,Sunday,6,0.8,2.9,,1440,0,0,0,0,8.0,0.597349
191,2015-01-11,Quarter2,Finishing,Sunday,7,0.8,2.9,,1440,0,0,0,0,8.0,0.590436
192,2015-01-11,Quarter2,Sewing,Sunday,4,0.8,50.48,562.0,10440,0,0,0,0,58.0,0.473135
193,2015-01-11,Quarter2,Sewing,Sunday,5,0.6,20.79,1208.0,7980,0,0,0,0,57.0,0.45298
194,2015-01-12,Quarter2,Finishing,Monday,1,0.8,3.94,,1440,0,0,0,0,8.0,0.955151
195,2015-01-12,Quarter2,Finishing,Monday,4,0.35,4.3,,3240,0,0,0,0,18.0,0.942214
196,2015-01-12,Quarter2,Finishing,Monday,3,0.8,4.15,,1800,0,0,0,0,10.0,0.905455
197,2015-01-12,Quarter2,Finishing,Monday,2,0.8,3.94,,1440,0,0,0,0,8.0,0.88053
198,2015-01-12,Quarter2,Finishing,Monday,9,0.8,3.94,,1440,0,0,0,0,8.0,0.858144
199,2015-01-12,Quarter2,Sewing,Monday,1,0.8,26.16,1099.0,8220,75,0,0,0,59.0,0.850522
200,2015-01-12,Quarter2,Sewing,Monday,9,0.8,26.16,1093.0,10620,75,0,0,0,59.0,0.850502
201,2015-01-12,Quarter2,Sewing,Monday,7,0.8,25.9,1031.0,10170,60,0,0,0,56.5,0.850137
202,2015-01-12,Quarter2,Sewing,Monday,8,0.8,25.9,1233.0,10170,60,0,0,0,56.5,0.850137
203,2015-01-12,Quarter2,Finishing,Monday,6,0.8,2.9,,1440,0,0,0,0,8.0,0.817424
204,2015-01-12,Quarter2,Finishing,Monday,5,0.65,4.15,,1440,0,0,0,0,8.0,0.809564
205,2015-01-12,Quarter2,Sewing,Monday,3,0.8,19.87,941.0,9900,0,0,0,0,55.0,0.800274
206,2015-01-12,Quarter2,Sewing,Monday,6,0.8,11.41,843.0,5670,50,0,0,0,31.5,0.800182
207,2015-01-12,Quarter2,Sewing,Monday,12,0.8,11.61,760.0,4470,50,0,0,0,31.5,0.800077
208,2015-01-12,Quarter2,Sewing,Monday,2,0.8,28.08,737.0,10530,63,0,0,0,58.5,0.8
209,2015-01-12,Quarter2,Finishing,Monday,8,0.8,2.9,,1440,0,0,0,0,8.0,0.725
210,2015-01-12,Quarter2,Sewing,Monday,10,0.8,50.48,381.0,6930,45,0,0,0,58.5,0.688558
211,2015-01-12,Quarter2,Sewing,Monday,5,0.65,20.79,1141.0,8460,0,0,0,0,59.0,0.650041
212,2015-01-12,Quarter2,Sewing,Monday,11,0.65,12.52,1004.0,9540,44,0,0,0,53.0,0.649981
213,2015-01-12,Quarter2,Finishing,Monday,7,0.8,2.9,,1440,0,0,0,0,8.0,0.648106
214,2015-01-12,Quarter2,Finishing,Monday,11,0.8,4.15,,1440,0,0,0,0,8.0,0.640578
215,2015-01-12,Quarter2,Sewing,Monday,4,0.35,22.4,581.0,7350,0,0,0,0,51.5,0.350633
216,2015-01-12,Quarter2,Finishing,Monday,10,0.8,3.94,,1440,0,0,0,0,8.0,0.24625
217,2015-01-13,Quarter2,Finishing,Tuesday,4,0.35,4.3,,2160,0,0,0,0,12.0,0.95202
218,2015-01-13,Quarter2,Finishing,Tuesday,1,0.8,3.94,,1440,0,0,0,0,2.0,0.95142
219,2015-01-13,Quarter2,Finishing,Tuesday,10,0.8,3.94,,5400,0,0,0,0,20.0,0.912767
220,2015-01-13,Quarter2,Finishing,Tuesday,3,0.8,4.15,,1620,0,0,0,0,9.0,0.901263
221,2015-01-13,Quarter2,Finishing,Tuesday,9,0.8,3.94,,1440,0,0,0,0,8.0,0.858144
222,2015-01-13,Quarter2,Sewing,Tuesday,1,0.8,26.16,1073.0,10620,75,0,0,0,59.0,0.850502
223,2015-01-13,Quarter2,Sewing,Tuesday,9,0.8,26.16,1156.0,10620,75,0,0,0,59.0,0.850502
224,2015-01-13,Quarter2,Sewing,Tuesday,8,0.8,25.9,1211.0,10260,60,0,0,0,57.0,0.850253
225,2015-01-13,Quarter2,Sewing,Tuesday,7,0.8,25.9,1126.0,10170,60,0,0,0,56.5,0.850137
226,2015-01-13,Quarter2,Finishing,Tuesday,5,0.65,4.15,,1440,0,0,0,0,8.0,0.821354
227,2015-01-13,Quarter2,Finishing,Tuesday,2,0.8,3.94,,1440,0,0,0,0,8.0,0.805909
228,2015-01-13,Quarter2,Sewing,Tuesday,6,0.8,11.61,1004.0,5670,50,0,0,0,31.5,0.800247
229,2015-01-13,Quarter2,Sewing,Tuesday,12,0.8,11.61,1063.0,5670,50,0,0,0,31.5,0.800247
230,2015-01-13,Quarter2,Sewing,Tuesday,2,0.8,28.08,723.0,10530,50,0,0,0,58.5,0.8
231,2015-01-13,Quarter2,Sewing,Tuesday,3,0.8,42.27,465.0,9900,54,0,0,0,55.0,0.705577
232,2015-01-13,Quarter2,Finishing,Tuesday,8,0.8,2.9,,1440,0,0,0,0,8.0,0.681061
233,2015-01-13,Quarter2,Finishing,Tuesday,7,0.8,2.9,,1440,0,0,0,0,8.0,0.670076
234,2015-01-13,Quarter2,Finishing,Tuesday,11,0.8,4.15,,1440,0,0,0,0,8.0,0.601278
235,2015-01-13,Quarter2,Sewing,Tuesday,11,0.7,27.13,530.0,9540,37,0,0,0,53.0,0.582301
236,2015-01-13,Quarter2,Sewing,Tuesday,5,0.7,20.79,1297.0,10440,0,0,0,0,58.0,0.52681
237,2015-01-13,Quarter2,Sewing,Tuesday,4,0.5,22.4,783.0,10170,23,0,0,0,56.5,0.500381
238,2015-01-13,Quarter2,Sewing,Tuesday,10,0.35,22.4,715.0,10170,23,0,0,0,56.5,0.350206
239,2015-01-14,Quarter2,Finishing,Wednesday,11,0.8,4.15,,1980,0,0,0,0,7.0,0.934607
